erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
50,50000,0.151868,0.419136,0.584182,34400,10300,3.148e+06,848133,-25.2275,-21.0757,-18.5024,-14.1639,282827,274629,264876,25801,0,0,0,0,120198,110221,126992,17879,110382,108367,78874,5619,52247,56041,59010,2303
51,51000,0.15386,0.42262,0.589655,34257,10300,3.33052e+06,846141,-25.2275,-21.0757,-18.5024,-14.1639,282898,274404,263007,25832,0,0,0,0,119917,109467,125134,18177,110421,108134,79717,5217,52560,56803,58156,2438
52,52000,0.155602,0.425637,0.595078,36283,10300,3.34795e+06,844399,-25.2275,-21.0757,-18.5024,-14.1639,282354,274401,261829,25815,0,0,0,0,119026,109840,124753,17643,110431,108483,78766,5402,52897,56078,58310,2770
53,53000,0.157882,0.430024,0.601039,37123,10300,3.53259e+06,842119,-25.2275,-21.0757,-18.5024,-14.1639,281329,273822,261185,25783,0,0,0,0,118576,110255,124034,17566,110868,106819,79292,5305,51885,56748,57859,2912
54,54000,0.16026,0.4344,0.605288,39494,10300,3.45473e+06,839741,-25.2275,-21.0757,-18.5024,-14.1639,280117,273710,260037,25877,0,0,0,0,118168,110466,124216,17778,109595,105673,78254,5230,52354,57571,57567,2869
55,55000,0.162495,0.438055,0.611394,41978,10300,3.96026e+06,837506,-25.2275,-21.0757,-18.5024,-14.1639,279520,273112,258983,25891,0,0,0,0,117547,109595,122781,17648,110433,104791,78905,5221,51540,58726,57297,3022
56,56000,0.165239,0.442709,0.614612,42070,10300,3.55492e+06,834762,-25.2275,-21.0757,-18.5024,-14.1639,278883,271484,258609,25786,0,0,0,0,118027,109323,122741,17675,110018,103566,77893,5200,50838,58595,57975,2911
57,57000,0.167316,0.447153,0.617781,42363,12700,3.99347e+06,832685,-25.2275,-21.0757,-18.5024,-14.1639,277529,271653,258206,25297,0,0,0,0,115861,110001,122650,17254,110347,103397,76865,5241,51321,58255,58691,2802
58,58000,0.170342,0.452784,0.623397,46008,12700,5.6175e+06,829659,-25.2275,-21.0757,-18.5024,-14.1639,276814,270644,256722,25479,0,0,0,0,114868,109256,121730,17558,110262,102394,77114,5000,51684,58994,57878,2921
59,59000,0.172149,0.456011,0.624203,48673,12700,4.0357e+06,827852,-25.2275,-21.0757,-18.5024,-14.1639,276212,270747,255649,25244,0,0,0,0,115372,109810,121430,17332,110259,102641,75098,5223,50581,58296,59121,2689
