erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
11,11000,4e-06,1.25342e-05,0.270919,0,1201,695538,999997,-25.0158,-23.3996,-99,-99,998713,1284,0,0,0,0,0,0,0,0,0,0,507499,728,0,0,491214,556,0,0
12,12000,0.000519999,0.00162945,0.300212,1,1201,771327,999481,-25.0158,-22.974,-99,-99,997705,1776,0,0,0,0,0,0,0,0,0,0,507701,1085,0,0,490004,691,0,0
13,13000,0.004906,0.0153732,0.321078,3,1263,838186,995095,-25.0158,-22.974,-99,-99,992802,2293,0,0,0,0,0,0,0,0,0,0,506050,1393,0,0,486752,900,0,0
14,14000,0.0113,0.0354092,0.337819,0,1263,937293,988701,-25.0158,-22.974,-99,-99,986350,2351,0,0,0,0,0,0,0,0,0,0,503342,1289,0,0,483008,1062,0,0
15,15000,0.019652,0.0615807,0.352108,1,1263,982156,980349,-25.0158,-22.974,-99,-99,978462,1887,0,0,0,0,0,0,0,0,0,0,500605,1007,0,0,477857,880,0,0
16,16000,0.027658,0.086668,0.365139,0,1325,1.05931e+06,972343,-25.0158,-22.6229,-99,-99,970102,2241,0,0,0,0,0,0,0,0,0,0,494286,1311,0,0,475816,930,0,0
17,17000,0.035053,0.109841,0.379161,0,1325,1.11455e+06,964948,-25.0158,-22.6229,-99,-99,962582,2366,0,0,0,0,0,0,0,0,0,0,490359,1537,0,0,472223,829,0,0
18,18000,0.041944,0.131434,0.392465,1,1325,1.17218e+06,958057,-25.0158,-22.6229,-99,-99,955501,2556,0,0,0,0,0,0,0,0,0,0,488924,1576,0,0,466577,980,0,0
19,19000,0.048058,0.150593,0.404279,3,1325,1.22869e+06,951943,-25.0158,-22.6229,-99,-99,949164,2779,0,0,0,0,0,0,0,0,0,0,487737,1706,0,0,461427,1073,0,0
20,20000,0.0535559,0.167821,0.415912,0,1325,1.28431e+06,946445,-25.0158,-22.6229,-99,-99,943498,2947,0,0,0,0,0,0,0,0,0,0,487193,1865,0,0,456305,1082,0,0
21,21000,0.0587889,0.184219,0.426668,1,1325,1.33453e+06,941212,-25.0158,-22.6229,-99,-99,938132,3080,0,0,0,0,0,0,0,0,0,0,487259,1882,0,0,450873,1198,0,0
22,22000,0.0639879,0.20051,0.438433,8,1325,1.38764e+06,936013,-25.0158,-22.6229,-99,-99,932591,3422,0,0,0,0,0,0,0,0,0,0,486824,2031,0,0,445767,1391,0,0
23,23000,0.0694019,0.217475,0.450003,14,1325,1.48738e+06,930599,-25.0158,-22.6229,-99,-99,927357,3242,0,0,0,0,0,0,0,0,0,0,486881,1920,0,0,440476,1322,0,0
24,24000,0.0741569,0.232375,0.461092,2,1325,1.52921e+06,925844,-25.0158,-22.6229,-99,-99,922233,3611,0,0,0,0,0,0,0,0,0,0,485132,2225,0,0,437101,1386,0,0
25,25000,0.0787679,0.246819,0.467611,0,1325,1.55736e+06,921233,-25.0158,-22.6229,-99,-99,917604,3629,0,0,0,0,0,0,0,0,0,0,483464,2229,0,0,434140,1400,0,0
26,26000,0.0829559,0.259923,0.478284,0,1325,1.63438e+06,917045,-25.0158,-22.5434,-99,-99,913116,3929,0,0,0,0,0,0,0,0,0,0,482641,2331,0,0,430475,1598,0,0
27,27000,0.0868829,0.27222,0.486807,0,1325,1.74665e+06,913118,-25.0158,-22.6229,-99,-99,909187,3931,0,0,0,0,0,0,0,0,0,0,481030,2320,0,0,428157,1611,0,0
28,28000,0.0907079,0.284215,0.49508,0,1325,1.76231e+06,909293,-25.0158,-22.6229,-99,-99,905650,3643,0,0,0,0,0,0,0,0,0,0,480534,1992,0,0,425116,1651,0,0
29,29000,0.0934839,0.292889,0.506047,0,1325,1.83465e+06,906517,-25.0158,-22.5434,-99,-99,903081,3436,0,0,0,0,0,0,0,0,0,0,479978,1940,0,0,423103,1496,0,0
30,30000,0.0967949,0.303227,0.515752,1,1325,1.85244e+06,903206,-25.0158,-22.6229,-99,-99,899761,3445,0,0,0,0,0,0,0,0,0,0,479038,1996,0,0,420723,1449,0,0
31,31000,0.0995379,0.311599,0.525496,0,1325,2.05046e+06,900463,-25.0158,-22.6229,-99,-99,896794,3669,0,0,0,0,0,0,0,0,0,0,477671,2169,0,0,419123,1500,0,0
32,32000,0.10239,0.320161,0.533703,6,1325,2.07342e+06,897611,-25.0158,-22.6229,-99,-99,893662,3949,0,0,0,0,0,0,0,0,0,0,476507,2290,0,0,417155,1659,0,0
33,33000,0.105702,0.329338,0.53957,0,1325,2.14762e+06,894299,-25.0158,-22.6229,-99,-99,890129,4170,0,0,0,0,0,0,0,0,0,0,474370,2574,0,0,415759,1596,0,0
34,34000,0.108899,0.338142,0.545631,5,1350,2.19342e+06,891102,-25.0158,-22.6229,-99,-99,886947,4155,0,0,0,0,0,0,0,0,0,0,474340,2513,0,0,412607,1642,0,0
35,35000,0.112756,0.349162,0.552954,0,1350,2.20507e+06,887245,-25.0158,-22.6229,-99,-99,882781,4464,0,0,0,0,0,0,0,0,0,0,469896,2753,0,0,412885,1711,0,0
36,36000,0.115551,0.356534,0.560038,6,1350,2.39273e+06,884450,-25.0158,-22.6229,-99,-99,879835,4615,0,0,0,0,0,0,0,0,0,0,469364,2762,0,0,410471,1853,0,0
37,37000,0.119528,0.36697,0.564955,1,1388,2.56532e+06,880473,-25.0158,-22.4622,-99,-99,875975,4498,0,0,0,0,0,0,0,0,0,0,469009,2743,0,0,406966,1755,0,0
38,38000,0.122051,0.373731,0.57138,0,1388,2.525e+06,877950,-25.0158,-22.6229,-99,-99,873237,4713,0,0,0,0,0,0,0,0,0,0,467492,2810,0,0,405745,1903,0,0
39,39000,0.126197,0.384529,0.578807,2,1388,2.46828e+06,873804,-25.0158,-22.4622,-99,-99,869070,4734,0,0,0,0,0,0,0,0,0,0,465813,2852,0,0,403257,1882,0,0
40,40000,0.129048,0.391352,0.582628,2,1388,2.57401e+06,870953,-25.0158,-22.4622,-99,-99,866063,4890,0,0,0,0,0,0,0,0,0,0,464497,2959,0,0,401566,1931,0,0
41,41000,0.133361,0.402079,0.589026,1,1388,2.51431e+06,866640,-25.0158,-22.4622,-99,-99,861863,4777,0,0,0,0,0,0,0,0,0,0,462441,2909,0,0,399422,1868,0,0
42,42000,0.136155,0.40996,0.594345,0,1388,2.61483e+06,863846,-25.0158,-22.4622,-99,-99,858712,5134,0,0,0,0,0,0,0,0,0,0,462382,3058,0,0,396330,2076,0,0
43,43000,0.13903,0.417065,0.600267,0,1388,2.6889e+06,860971,-25.0158,-22.4622,-99,-99,855779,5192,0,0,0,0,0,0,0,0,0,0,462714,3051,0,0,393065,2141,0,0
44,44000,0.14233,0.424299,0.60794,0,1388,2.82529e+06,857671,-25.0158,-22.4622,-99,-99,852511,5160,0,0,0,0,0,0,0,0,0,0,461391,3201,0,0,391120,1959,0,0
45,45000,0.145637,0.432692,0.611012,0,1388,2.88496e+06,854364,-25.0158,-22.4622,-99,-99,849074,5290,0,0,0,0,0,0,0,0,0,0,459928,3307,0,0,389146,1983,0,0
46,46000,0.149461,0.441439,0.614469,0,1388,2.8539e+06,850540,-25.0158,-22.4622,-99,-99,844907,5633,0,0,0,0,0,0,0,0,0,0,459542,3437,0,0,385365,2196,0,0
