erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 42, erlang: 42000, general blocking: 0.019982, BBP: 0.0624582, Total current utilization: 0.321214, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.68139e+07, conexiones exitosas: 980019, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :912377, conexiones exitosas con 8QAM :67642, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 43, erlang: 43000, general blocking: 0.021437, BBP: 0.0669783, Total current utilization: 0.326404, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.68065e+07, conexiones exitosas: 978564, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :910419, conexiones exitosas con 8QAM :68145, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 44, erlang: 44000, general blocking: 0.024936, BBP: 0.0779315, Total current utilization: 0.329779, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.71785e+07, conexiones exitosas: 975065, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :907183, conexiones exitosas con 8QAM :67882, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 45, erlang: 45000, general blocking: 0.026454, BBP: 0.0825614, Total current utilization: 0.333621, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.73774e+07, conexiones exitosas: 973547, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :905436, conexiones exitosas con 8QAM :68111, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 46, erlang: 46000, general blocking: 0.028613, BBP: 0.0893044, Total current utilization: 0.337725, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.77142e+07, conexiones exitosas: 971388, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :902332, conexiones exitosas con 8QAM :69056, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 47, erlang: 47000, general blocking: 0.030634, BBP: 0.0955459, Total current utilization: 0.341395, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.80001e+07, conexiones exitosas: 969367, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :900049, conexiones exitosas con 8QAM :69318, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 48, erlang: 48000, general blocking: 0.032679, BBP: 0.101917, Total current utilization: 0.345218, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.85336e+07, conexiones exitosas: 967322, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :897094, conexiones exitosas con 8QAM :70228, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 49, erlang: 49000, general blocking: 0.034982, BBP: 0.109068, Total current utilization: 0.349816, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.92777e+07, conexiones exitosas: 965019, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :894037, conexiones exitosas con 8QAM :70982, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 50, erlang: 50000, general blocking: 0.036603, BBP: 0.114034, Total current utilization: 0.351803, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 1.9977e+07, conexiones exitosas: 963398, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :892911, conexiones exitosas con 8QAM :70487, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
erlang index: 51, erlang: 51000, general blocking: 0.03893, BBP: 0.121203, Total current utilization: 0.357105, Blocked by XT: 0, Ruta mas larga: 774, tiempo transcurrido: 2.01595e+07, conexiones exitosas: 961071, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation QPSK: -99, Max XT for modulation BPSK: -99, conexiones exitosas con 16QAM :889647, conexiones exitosas con 8QAM :71424, conexiones exitosas con QPSK :0, conexiones exitosas con BPSK :0
