erlang index,erlang,general blocking,BBP,Total current utilization,Blocked by XT,Ruta mas larga,Max XT for modulation 16QAM,Max XT for modulation 8QAM,Max XT for modulation QPSK,Max XT for modulation BPSK,conexiones exitosas con 16QAM,conexiones exitosas con 8QAM,conexiones exitosas con QPSK,conexiones exitosas con BPSK
erlang index: 33, erlang: 33000, general blocking: 0.105427, BBP: 0.307119, Total current utilization: 0.363649, Blocked by XT: 22749, Ruta mas larga: 10300, tiempo transcurrido: 1.11324e+07, conexiones exitosas: 894574, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138339, conexiones exitosas con 8QAM :232907, conexiones exitosas con QPSK :351410, conexiones exitosas con BPSK :171918
erlang index: 34, erlang: 34000, general blocking: 0.108644, BBP: 0.314419, Total current utilization: 0.368793, Blocked by XT: 23223, Ruta mas larga: 10300, tiempo transcurrido: 1.18785e+07, conexiones exitosas: 891357, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138245, conexiones exitosas con 8QAM :233018, conexiones exitosas con QPSK :347933, conexiones exitosas con BPSK :172161
erlang index: 35, erlang: 35000, general blocking: 0.111087, BBP: 0.319476, Total current utilization: 0.374782, Blocked by XT: 24299, Ruta mas larga: 10300, tiempo transcurrido: 1.15151e+07, conexiones exitosas: 888914, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138645, conexiones exitosas con 8QAM :231973, conexiones exitosas con QPSK :345830, conexiones exitosas con BPSK :172466
erlang index: 36, erlang: 36000, general blocking: 0.11374, BBP: 0.325191, Total current utilization: 0.38186, Blocked by XT: 24889, Ruta mas larga: 10300, tiempo transcurrido: 1.20938e+07, conexiones exitosas: 886261, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138483, conexiones exitosas con 8QAM :232086, conexiones exitosas con QPSK :342932, conexiones exitosas con BPSK :172760
erlang index: 37, erlang: 37000, general blocking: 0.116272, BBP: 0.331084, Total current utilization: 0.385511, Blocked by XT: 25945, Ruta mas larga: 10300, tiempo transcurrido: 1.29662e+07, conexiones exitosas: 883729, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :139124, conexiones exitosas con 8QAM :230202, conexiones exitosas con QPSK :340983, conexiones exitosas con BPSK :173420
erlang index: 38, erlang: 38000, general blocking: 0.118955, BBP: 0.336969, Total current utilization: 0.39107, Blocked by XT: 26530, Ruta mas larga: 10300, tiempo transcurrido: 1.32822e+07, conexiones exitosas: 881046, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :138766, conexiones exitosas con 8QAM :229370, conexiones exitosas con QPSK :339206, conexiones exitosas con BPSK :173704
erlang index: 39, erlang: 39000, general blocking: 0.121186, BBP: 0.341656, Total current utilization: 0.394879, Blocked by XT: 26133, Ruta mas larga: 10300, tiempo transcurrido: 1.34066e+07, conexiones exitosas: 878815, Max XT for modulation 16QAM: -26.4196, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140013, conexiones exitosas con 8QAM :227452, conexiones exitosas con QPSK :337507, conexiones exitosas con BPSK :173843
erlang index: 40, erlang: 40000, general blocking: 0.123979, BBP: 0.34821, Total current utilization: 0.399928, Blocked by XT: 26731, Ruta mas larga: 10300, tiempo transcurrido: 1.3657e+07, conexiones exitosas: 876022, Max XT for modulation 16QAM: -26.197, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140211, conexiones exitosas con 8QAM :225634, conexiones exitosas con QPSK :336208, conexiones exitosas con BPSK :173969
erlang index: 41, erlang: 41000, general blocking: 0.125748, BBP: 0.35198, Total current utilization: 0.406547, Blocked by XT: 27280, Ruta mas larga: 10300, tiempo transcurrido: 1.40169e+07, conexiones exitosas: 874253, Max XT for modulation 16QAM: -26.197, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140343, conexiones exitosas con 8QAM :224699, conexiones exitosas con QPSK :335556, conexiones exitosas con BPSK :173655
erlang index: 42, erlang: 42000, general blocking: 0.128165, BBP: 0.357268, Total current utilization: 0.411559, Blocked by XT: 27585, Ruta mas larga: 10300, tiempo transcurrido: 1.41416e+07, conexiones exitosas: 871836, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140814, conexiones exitosas con 8QAM :223324, conexiones exitosas con QPSK :333693, conexiones exitosas con BPSK :174005
erlang index: 43, erlang: 43000, general blocking: 0.131297, BBP: 0.363416, Total current utilization: 0.417277, Blocked by XT: 28942, Ruta mas larga: 10300, tiempo transcurrido: 1.46344e+07, conexiones exitosas: 868704, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140483, conexiones exitosas con 8QAM :222543, conexiones exitosas con QPSK :334618, conexiones exitosas con BPSK :171060
erlang index: 44, erlang: 44000, general blocking: 0.13381, BBP: 0.369067, Total current utilization: 0.421922, Blocked by XT: 29052, Ruta mas larga: 10300, tiempo transcurrido: 1.48993e+07, conexiones exitosas: 866191, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140617, conexiones exitosas con 8QAM :221085, conexiones exitosas con QPSK :333252, conexiones exitosas con BPSK :171237
erlang index: 45, erlang: 45000, general blocking: 0.135782, BBP: 0.37294, Total current utilization: 0.424882, Blocked by XT: 30515, Ruta mas larga: 10300, tiempo transcurrido: 1.50649e+07, conexiones exitosas: 864219, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140765, conexiones exitosas con 8QAM :220882, conexiones exitosas con QPSK :332648, conexiones exitosas con BPSK :169924
erlang index: 46, erlang: 46000, general blocking: 0.138134, BBP: 0.378501, Total current utilization: 0.429277, Blocked by XT: 31481, Ruta mas larga: 10300, tiempo transcurrido: 1.50722e+07, conexiones exitosas: 861867, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140487, conexiones exitosas con 8QAM :220109, conexiones exitosas con QPSK :332066, conexiones exitosas con BPSK :169205
erlang index: 47, erlang: 47000, general blocking: 0.139924, BBP: 0.382152, Total current utilization: 0.434143, Blocked by XT: 32671, Ruta mas larga: 10300, tiempo transcurrido: 1.56723e+07, conexiones exitosas: 860077, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140288, conexiones exitosas con 8QAM :219175, conexiones exitosas con QPSK :331536, conexiones exitosas con BPSK :169078
erlang index: 48, erlang: 48000, general blocking: 0.142258, BBP: 0.386667, Total current utilization: 0.437868, Blocked by XT: 33023, Ruta mas larga: 10300, tiempo transcurrido: 1.57744e+07, conexiones exitosas: 857743, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140627, conexiones exitosas con 8QAM :219361, conexiones exitosas con QPSK :330303, conexiones exitosas con BPSK :167452
erlang index: 49, erlang: 49000, general blocking: 0.143991, BBP: 0.390808, Total current utilization: 0.440506, Blocked by XT: 33696, Ruta mas larga: 10300, tiempo transcurrido: 1.61058e+07, conexiones exitosas: 856010, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :141115, conexiones exitosas con 8QAM :217922, conexiones exitosas con QPSK :330106, conexiones exitosas con BPSK :166867
erlang index: 50, erlang: 50000, general blocking: 0.146042, BBP: 0.394644, Total current utilization: 0.444407, Blocked by XT: 34516, Ruta mas larga: 10300, tiempo transcurrido: 1.62942e+07, conexiones exitosas: 853959, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140647, conexiones exitosas con 8QAM :217456, conexiones exitosas con QPSK :328634, conexiones exitosas con BPSK :167222
erlang index: 51, erlang: 51000, general blocking: 0.14801, BBP: 0.398579, Total current utilization: 0.448196, Blocked by XT: 34917, Ruta mas larga: 10300, tiempo transcurrido: 1.70036e+07, conexiones exitosas: 851991, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :141134, conexiones exitosas con 8QAM :216760, conexiones exitosas con QPSK :328407, conexiones exitosas con BPSK :165690
erlang index: 52, erlang: 52000, general blocking: 0.15009, BBP: 0.403133, Total current utilization: 0.452332, Blocked by XT: 35690, Ruta mas larga: 10300, tiempo transcurrido: 1.72376e+07, conexiones exitosas: 849911, Max XT for modulation 16QAM: -25.8491, Max XT for modulation 8QAM: -21.0757, Max XT for modulation QPSK: -18.5024, Max XT for modulation BPSK: -14.1639, conexiones exitosas con 16QAM :140638, conexiones exitosas con 8QAM :216724, conexiones exitosas con QPSK :326626, conexiones exitosas con BPSK :165923
